response,class
olla seuraava viikko parempi?,suggestion
voida sopia tavata ensi kuulle?,suggestion
olla sinä sopiva lauantai?,suggestion
milloin sinä sopisi?,suggestion
"valitettava ei voi osallistua 13.2.2023, mutta voida sopia tavata toinen päivälle?",suggestion
olla jokin toinen Päivä sinä sopiva?,suggestion
vuo ehdottaa toinen ajankohtaa?,suggestion
mikä aika sinä sopia paremmin?,suggestion
olla sinä vapa Päivä ensi viikolla?,suggestion
mikä ajankohta sopia sinä parhaiten?,suggestion
"ei voi silloin, mutta voida sopia tavata myöhemmin?",suggestion
voida löytää hyvä ajankohdan?,suggestion
olla sinä sopiva perjantai?,suggestion
olla aamu vai iltapäivä sinä parempi?,suggestion
"valitettava ei pääse, mutta voida sopia toinen ajan?",suggestion
mikä aika olla sinä hyvä aika?,suggestion
voida siirtää tavata seuraava viikolle?,suggestion
olla jokin toinen Päivä sinä sopiva?,suggestion
olla sinä sopiva sunnuntai?,suggestion
milloin sinä olla seuraava vapa hetki?,suggestion
"valitettava ei voi osallistua, mutta voida löytää uusi ajankohdan?",suggestion
olla sinä hyvä aika ensi viikolla?,suggestion
"voida sopia toinen ajan, joka sopia me molemmille?",suggestion
olla sinä hyvä aamu vai iltapäivä?,suggestion
olla sinä vapaa aika seuraava viikolle?,suggestion
mikä aika sinä sopia parhaiten?,suggestion
"valitettava ei pääse, mutta voida siirtää tavata huomiselle?",suggestion
olla seuraava kuukausi hyvä ajankohta?,suggestion
olla sinä sopiva maanantai?,suggestion
milloin sinä olla vapa hetki tapaamiselle?,suggestion
"valitettava ei voi osallistua, mutta voida sopia toinen aika huominen",suggestion
"Pahoittelen, ei päästä silloin. olla mahdollistaa järjestää tavata toinen päivänä?",suggestion
valitettava tuo Päivä ei sovi. miten olla vaikka seuraava viikko? olla silloin vapaa aikoja?,suggestion
vuo vaihtaa toinen toimipisteeseen?,suggestion
vuo tulla seuraava kerta eri hammaslääkärille?,suggestion
vuo tulla aikaisemmin?,suggestion
vuo tulla myöhemmin?,suggestion
olla mahdollistaa vaihtaa toinen päivään?,suggestion
olla mahdollistaa saada aika aikaisemmin?,suggestion
olla mahdollistaa saada aika myöhemmin?,suggestion
voi aika siirtää myöhemmäksi?,suggestion
voi aika siirtää aikaisemmaksi?,suggestion
voi aika siirtää toinen viikolle?,suggestion
olla ilta-aikoja?,suggestion
olla aika ensi viikonloppuna?,suggestion
olla aika viikonloppuisin?,suggestion
voi muuttaa aika toinen toimipisteeseen?,suggestion
olla mahdollistaa saada aika toinen toimipisteeseen?,suggestion
olla mahdollistaa vaihtaa aika toinen hammaslääkärille?,suggestion
olla mahdollistaa tulla seuraava viikonloppuna?,suggestion
olla mahdollistaa vaihtaa ajankohta sopia minä paremmin?,suggestion
olla mahdollistaa saada aika toinen viikkoon?,suggestion
voi muuttaa aika toinen toimipisteeseen?,suggestion
olla mahdollistaa vaihtaa toinen aikaan?,suggestion
